Year,Ceremony,Award,Name,Film
1947,20,Music (Song),"""Zip-A-Dee-Doo-Dah"" from Song of the South",Music by Allie Wrubel; Lyrics by Ray Gilbert
1947,20,Best Motion Picture,Gentleman's Agreement,20th Century-Fox
1947,20,Short Subject (Cartoon),Tweetie Pie,"Edward Selzer, Producer"
1947,20,Short Subject (One Reel),Good-bye Miss Turlock,"Herbert Moulton, Producer"
1947,20,Short Subject (Two Reel),Climbing the Matterhorn,"Irving Allen, Producer"
1947,20,Sound Recording,The Bishop's Wife,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director"
1947,20,Special Effects,Green Dolphin Street,"Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore"
1947,20,Writing (Motion Picture Story),Miracle on 34th Street,Valentine Davies
1947,20,Writing (Original Screenplay),The Bachelor and the Bobby-Soxer,Sidney Sheldon
1947,20,Writing (Screenplay),Miracle on 34th Street,George Seaton
1947,20,Special Award,James Baskett,Song of the South
1948,21,Actor,Laurence Olivier,Hamlet
1948,21,Actor in a Supporting Role,Walter Huston,The Treasure of the Sierra Madre
1948,21,Actress,Jane Wyman,Johnny Belinda
1948,21,Actress in a Supporting Role,Claire Trevor,Key Largo
1948,21,Art Direction (Black and White),Hamlet,Art Direction: Roger K. Furse; Set Decoration: Carmen Dillon
1948,21,Art Direction (Color),The Red Shoes,Art Direction: Hein Heckroth; Set Decoration: Arthur Lawson
1948,21,Cinematography (Black and White),The Naked City,William Daniels
1948,21,Cinematography (Color),Joan of Arc,"Joseph Valentine, William V. Skall, Winton Hoch"
1948,21,Costume Design (Black and White),Hamlet,Roger K. Furse
1948,21,Costume Design (Color),Joan of Arc,"Dorothy Jeakins, Karinska"
1948,21,Directing,The Treasure of the Sierra Madre,John Huston
1948,21,Documentary (Feature),The Secret Land,"Orville O. Dull, Producer"
1948,21,Documentary (Short Subject),Toward Independence,United States Army
1948,21,Film Editing,The Naked City,Paul Weatherwax
1948,21,Music (Music Score of a Dramatic or Comedy Picture),The Red Shoes,Brian Easdale
1948,21,Music (Scoring of a Musical Picture),Easter Parade,"Johnny Green, Roger Edens"
1948,21,Music (Song),"""Buttons And Bows"" from The Paleface",Music and Lyrics by Jay Livingston and Ray Evans
1948,21,Best Motion Picture,Hamlet,J. Arthur Rank-Two Cities Films
1948,21,Short Subject (Cartoon),The Little Orphan,"Fred Quimby, Producer"
1948,21,Short Subject (One Reel),Symphony of a City,"Edmund H. Reek, Producer"
1948,21,Short Subject (Two Reel),Seal Island,"Walt Disney, Producer"
1948,21,Sound Recording,The Snake Pit,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director"
1948,21,Special Effects,Portrait of Jennie,"Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. Stewart"
1948,21,Writing (Motion Picture Story),The Search,"Richard Schweizer, David Wechsler"
1948,21,Writing (Screenplay),The Treasure of the Sierra Madre,John Huston
1948,21,Special Award,Ivan Jandl,The Search
1948,21,Special Award,Walter Wanger,Joan of Arc
1949,22,Actor,Broderick Crawford,All the King's Men
1949,22,Actor in a Supporting Role,Dean Jagger,Twelve O'Clock High
1949,22,Actress,Olivia de Havilland,The Heiress
1949,22,Actress in a Supporting Role,Mercedes McCambridge,All the King's Men
1949,22,Art Direction (Black and White),The Heiress,"Art Direction: Harry Horner, John Meehan; Set Decoration: Emile Kuri"
1949,22,Art Direction (Color),Little Women,"Art Direction: Cedric Gibbons, Paul Groesse; Set Decoration: Edwin B. Willis, Jack D. Moore"
1949,22,Cinematography (Black and White),Battleground,Paul C. Vogel
1949,22,Cinematography (Color),She Wore a Yellow Ribbon,Winton Hoch
1949,22,Costume Design (Black and White),The Heiress,"Edith Head, Gile Steele"
1949,22,Costume Design (Color),The Adventures of Don Juan,"Leah Rhodes, Travilla, Marjorie Best"
1949,22,Directing,A Letter to Three Wives,Joseph L. Mankiewicz
1949,22,Documentary (Feature),Daybreak in Udi,Crown Film Unit
1949,22,Documentary (Short Subject),A Chance to Live,"Richard de Rochemont, Producer"
1949,22,Documentary (Short Subject),So Much for So Little,"Edward Selzer, Producer"
1949,22,Film Editing,Champion,Harry Gerstad
1949,22,Music (Music Score of a Dramatic or Comedy Picture),The Heiress,Aaron Copland
1949,22,Music (Scoring of a Musical Picture),On the Town,"Roger Edens, Lennie Hayton"
1949,22,Music (Song),"""Baby, It's Cold Outside"" from Neptune's Daughter",Music and Lyrics by Frank Loesser
1949,22,Best Motion Picture,All the King's Men,Robert Rossen Productions
1949,22,Short Subject (Cartoon),For Scent-Imental Reasons,"Edward Selzer, Producer"
1949,22,Short Subject (One Reel),Aquatic House-Party,"Jack Eaton, Producer"
1949,22,Short Subject (Two Reel),Van Gogh,"Gaston Diehl and Robert Haessens, Producers"
1949,22,Sound Recording,Twelve O'Clock High,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director"
1949,22,Special Effects,Mighty Joe Young,ARKO Productions
1949,22,Writing (Motion Picture Story),The Stratton Story,Douglas Morrow
1949,22,Writing (Screenplay),A Letter to Three Wives,Joseph L. Mankiewicz
1949,22,Writing (Story and Screenplay),Battleground,Robert Pirosh
1950,23,Actor,José Ferrer,Cyrano de Bergerac
1950,23,Actor in a Supporting Role,George Sanders,All about Eve
1950,23,Actress,Judy Holliday,Born Yesterday
1950,23,Actress in a Supporting Role,Josephine Hull,Harvey
1950,23,Art Direction (Black and White),Sunset Blvd.,"Art Direction: Hans Dreier, John Meehan; Set Decoration: Sam Comer, Ray Moyer"
1950,23,Art Direction (Color),Samson and Delilah,"Art Direction: Hans Dreier, Walter Tyler; Set Decoration: Sam Comer, Ray Moyer"
1950,23,Cinematography (Black and White),The Third Man,Robert Krasker
1950,23,Cinematography (Color),King Solomon's Mines,Robert Surtees
1950,23,Costume Design (Black and White),All about Eve,"Edith Head, Charles LeMaire"
1950,23,Costume Design (Color),Samson and Delilah,"Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele, Gwen Wakeling"
1950,23,Directing,All about Eve,Joseph L. Mankiewicz
1950,23,Documentary (Feature),The Titan: Story of Michelangelo,"Robert Snyder, Producer"
1950,23,Documentary (Short Subject),Why Korea?,"Edmund Reek, Producer"
1950,23,Film Editing,King Solomon's Mines,"Ralph E. Winters, Conrad A. Nervig"
1950,23,Music (Music Score of a Dramatic or Comedy Picture),Sunset Blvd.,Franz Waxman
1950,23,Music (Scoring of a Musical Picture),Annie Get Your Gun,"Adolph Deutsch, Roger Edens"
1950,23,Music (Song),"""Mona Lisa"" from Captain Carey, U.S.A.",Music and Lyrics by Ray Evans and Jay Livingston
1950,23,Best Motion Picture,All about Eve,20th Century-Fox
1950,23,Short Subject (Cartoon),Gerald McBoing-Boing,"Stephen Bosustow, Producer"
1950,23,Short Subject (One Reel),Grandad of Races,"Gordon Hollingshead, Producer"
1950,23,Short Subject (Two Reel),In Beaver Valley,"Walt Disney, Producer"
1950,23,Sound Recording,All about Eve,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director"
1950,23,Special Effects,Destination Moon,George Pal Productions
1950,23,Writing (Motion Picture Story),Panic in the Streets,"Edna Anhalt, Edward Anhalt"
1950,23,Writing (Screenplay),All about Eve,Joseph L. Mankiewicz
1950,23,Writing (Story and Screenplay),Sunset Blvd.,"Charles Brackett, Billy Wilder, D. M. Marshman, Jr."
1951,24,Actor,Humphrey Bogart,The African Queen
1951,24,Actor in a Supporting Role,Karl Malden,A Streetcar Named Desire
1951,24,Actress,Vivien Leigh,A Streetcar Named Desire
1951,24,Actress in a Supporting Role,Kim Hunter,A Streetcar Named Desire
1951,24,Art Direction (Black and White),A Streetcar Named Desire,Art Direction: Richard Day; Set Decoration: George James Hopkins
1951,24,Art Direction (Color),An American in Paris,"Art Direction: Cedric Gibbons, Preston Ames; Set Decoration: Edwin B. Willis, Keogh Gleason"
1951,24,Cinematography (Black and White),A Place in the Sun,William C. Mellor
1951,24,Cinematography (Color),An American in Paris,Alfred Gilks; Ballet Photography by John Alton
1951,24,Costume Design (Black and White),A Place in the Sun,Edith Head
1951,24,Costume Design (Color),An American in Paris,"Orry-Kelly, Walter Plunkett, Irene Sharaff"
1951,24,Directing,A Place in the Sun,George Stevens
1951,24,Documentary (Feature),Kon-Tiki,"Olle Nordemar, Producer"
1951,24,Documentary (Short Subject),Benjy,'Made by Fred Zinnemann with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital'
1951,24,Film Editing,A Place in the Sun,William Hornbeck
1951,24,Music (Music Score of a Dramatic or Comedy Picture),A Place in the Sun,Franz Waxman
1951,24,Music (Scoring of a Musical Picture),An American in Paris,"Johnny Green, Saul Chaplin"
1951,24,Music (Song),"""In The Cool, Cool, Cool Of The Evening"" from Here Comes the Groom",Music by Hoagy Carmichael; Lyrics by Johnny Mercer
1951,24,Best Motion Picture,An American in Paris,"Arthur Freed, Producer"
1951,24,Short Subject (Cartoon),The Two Mouseketeers,"Fred Quimby, Producer"
1951,24,Short Subject (One Reel),World of Kids,"Robert Youngson, Producer"
1951,24,Short Subject (Two Reel),Nature's Half Acre,"Walt Disney, Producer"
1951,24,Sound Recording,The Great Caruso,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1951,24,Special Effects,When Worlds Collide,Paramount
1951,24,Writing (Motion Picture Story),Seven Days to Noon,"Paul Dehn, James Bernard"
1951,24,Writing (Screenplay),A Place in the Sun,"Michael Wilson, Harry Brown"
1951,24,Writing (Story and Screenplay),An American in Paris,Alan Jay Lerner
1952,25,Actor,Gary Cooper,High Noon
1952,25,Actor in a Supporting Role,Anthony Quinn,Viva Zapata!
1952,25,Actress,Shirley Booth,"Come Back, Little Sheba"
1952,25,Actress in a Supporting Role,Gloria Grahame,The Bad and the Beautiful
1952,25,Art Direction (Black and White),The Bad and the Beautiful,"Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Keogh Gleason"
1952,25,Art Direction (Color),Moulin Rouge,Art Direction: Paul Sheriff; Set Decoration: Marcel Vertes
1952,25,Cinematography (Black and White),The Bad and the Beautiful,Robert Surtees
1952,25,Cinematography (Color),The Quiet Man,"Winton C. Hoch, Archie Stout"
1952,25,Costume Design (Black and White),The Bad and the Beautiful,Helen Rose
1952,25,Costume Design (Color),Moulin Rouge,Marcel Vertes
1952,25,Directing,The Quiet Man,John Ford
1952,25,Documentary (Feature),The Sea around Us,"Irwin Allen, Producer"
1952,25,Documentary (Short Subject),Neighbours,"Norman McLaren, Producer"
1952,25,Film Editing,High Noon,"Elmo Williams, Harry Gerstad"
1952,25,Music (Music Score of a Dramatic or Comedy Picture),High Noon,Dimitri Tiomkin
1952,25,Music (Scoring of a Musical Picture),With a Song in My Heart,Alfred Newman
1952,25,Music (Song),"""High Noon (Do Not Forsake Me, Oh My Darlin')"" from High Noon",Music by Dimitri Tiomkin; Lyrics by Ned Washington
1952,25,Best Motion Picture,The Greatest Show on Earth,"Cecil B. DeMille, Producer"
1952,25,Short Subject (Cartoon),Johann Mouse,"Fred Quimby, Producer"
1952,25,Short Subject (One Reel),Light in the Window: The Art of Vermeer,"Boris Vermont, Producer"
1952,25,Short Subject (Two Reel),Water Birds,"Walt Disney, Producer"
1952,25,Sound Recording,Breaking the Sound Barrier,London Film Sound Department
1952,25,Special Effects,Plymouth Adventure,Metro-Goldwyn-Mayer
1952,25,Writing (Motion Picture Story),The Greatest Show on Earth,"Fredric M. Frank, Theodore St. John, Frank Cavett"
1952,25,Writing (Screenplay),The Bad and the Beautiful,Charles Schnee
1952,25,Writing (Story and Screenplay),The Lavender Hill Mob,T. E. B. Clarke
1953,26,Actor,William Holden,Stalag 17
1953,26,Actor in a Supporting Role,Frank Sinatra,From Here to Eternity
1953,26,Actress,Audrey Hepburn,Roman Holiday
1953,26,Actress in a Supporting Role,Donna Reed,From Here to Eternity
1953,26,Art Direction (Black and White),Julius Caesar,"Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Hugh Hunt"
1953,26,Art Direction (Color),The Robe,"Art Direction: Lyle Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Paul S. Fox"
1953,26,Cinematography (Black and White),From Here to Eternity,Burnett Guffey
1953,26,Cinematography (Color),Shane,Loyal Griggs
1953,26,Costume Design (Black and White),Roman Holiday,Edith Head
1953,26,Costume Design (Color),The Robe,"Charles LeMaire, Emile Santiago"
1953,26,Directing,From Here to Eternity,Fred Zinnemann
1953,26,Documentary (Feature),The Living Desert,"Walt Disney, Producer"
1953,26,Documentary (Short Subject),The Alaskan Eskimo,"Walt Disney, Producer"
1953,26,Film Editing,From Here to Eternity,William Lyon
1953,26,Music (Music Score of a Dramatic or Comedy Picture),Lili,Bronislau Kaper
1953,26,Music (Scoring of a Musical Picture),Call Me Madam,Alfred Newman
1953,26,Music (Song),"""Secret Love"" from Calamity Jane",Music by Sammy Fain; Lyrics by Paul Francis Webster
1953,26,Best Motion Picture,From Here to Eternity,"Buddy Adler, Producer"
1953,26,Short Subject (Cartoon),"Toot, Whistle, Plunk and Boom ","Walt Disney, Producer"
1953,26,Short Subject (One Reel),The Merry Wives of Windsor Overture,"Johnny Green, Producer"
1953,26,Short Subject (Two Reel),Bear Country,"Walt Disney, Producer"
1953,26,Sound Recording,From Here to Eternity,"Columbia Studio Sound Department, John P. Livadary, Sound Director"
1953,26,Special Effects,The War of the Worlds,Paramount Studio
1953,26,Writing (Motion Picture Story),Roman Holiday,Dalton Trumbo
1953,26,Writing (Screenplay),From Here to Eternity,Daniel Taradash
1953,26,Writing (Story and Screenplay),Titanic,"Charles Brackett, Walter Reisch, Richard Breen"
1954,27,Actor,Marlon Brando,On the Waterfront
1954,27,Actor in a Supporting Role,Edmond O'Brien,The Barefoot Contessa
1954,27,Actress,Grace Kelly,The Country Girl
1954,27,Actress in a Supporting Role,Eva Marie Saint,On the Waterfront
1954,27,Art Direction (Black and White),On the Waterfront,Richard Day
1954,27,Art Direction (Color),"20,000 Leagues under the Sea ",Art Direction: John Meehan; Set Decoration: Emile Kuri
1954,27,Cinematography (Black and White),On the Waterfront,Boris Kaufman
1954,27,Cinematography (Color),Three Coins in the Fountain,Milton Krasner
1954,27,Costume Design (Black and White),Sabrina,Edith Head
1954,27,Costume Design (Color),Gate of Hell,Sanzo Wada
1954,27,Directing,On the Waterfront,Elia Kazan
1954,27,Documentary (Feature),The Vanishing Prairie,"Walt Disney, Producer"
1954,27,Documentary (Short Subject),Thursday's Children,World Wide Pictures and Morse Films
1954,27,Film Editing,On the Waterfront,Gene Milford
1954,27,Music (Music Score of a Dramatic or Comedy Picture),The High and the Mighty,Dimitri Tiomkin
1954,27,Music (Scoring of a Musical Picture),Seven Brides for Seven Brothers,"Adolph Deutsch, Saul Chaplin"
